,,아황산가스(ppm),일산화탄소(ppm),이산화질소(ppm),오존(ppm)
2019,종로구,0.004,0.6,0.03,0.023
2019,중구,0.003,0.6,0.032,0.027
2019,용산구,0.003,0.5,0.032,0.023
2019,성동구,0.005,0.6,0.024,0.03
2019,광진구,0.004,0.8,0.022,0.027
2019,동대문구,0.004,0.5,0.027,0.025
2019,중랑구,0.004,0.5,0.032,0.027
2019,성북구,0.004,0.7,0.027,0.022
2019,강북구,0.005,0.5,0.029,0.027
2019,도봉구,0.006,0.5,0.024,0.025
2019,노원구,0.003,0.7,0.032,0.023
2019,은평구,0.003,0.5,0.021,0.028
2019,서대문구,0.004,0.5,0.019,0.029
2019,마포구,0.004,0.5,0.026,0.022
2019,양천구,0.004,0.5,0.032,0.024
2019,강서구,0.005,0.5,0.03,0.027
2019,구로구,0.005,0.4,0.025,0.028
2019,금천구,0.004,0.5,0.031,0.022
2019,영등포구,0.003,0.5,0.031,0.022
2019,동작구,0.003,0.5,0.03,0.024
2019,관악구,0.004,0.5,0.031,0.026
2019,서초구,0.004,0.4,0.03,0.027
2019,강남구,0.005,0.5,0.028,0.022
2019,송파구,0.003,0.5,0.033,0.023
2019,강동구,0.004,0.5,0.03,0.022